doctor_recc_h1n1,health_worker,opinion_h1n1_vacc_effective,opinion_h1n1_risk,age_group,race,h1n1_vaccine
0,0,5,2,45 - 54 Years,White,0
1,0,5,4,45 - 54 Years,Other or Multiple,1
0,0,4,1,18 - 34 Years,White,0
0,0,5,2,45 - 54 Years,White,0
0,0,5,2,55 - 64 Years,White,0
1,1,4,1,55 - 64 Years,White,0
0,0,2,5,35 - 44 Years,Hispanic,0
1,0,4,4,18 - 34 Years,Hispanic,1
0,0,4,2,35 - 44 Years,White,0
0,0,5,4,18 - 34 Years,Hispanic,0
0,0,2,1,65+ Years,White,0
0,0,3,2,65+ Years,White,0
0,0,4,2,18 - 34 Years,Black,0
0,0,4,4,18 - 34 Years,White,1
0,1,3,1,45 - 54 Years,White,0
1,0,4,1,55 - 64 Years,Hispanic,1
0,0,5,2,35 - 44 Years,White,0
1,0,4,2,65+ Years,White,0
0,0,4,4,18 - 34 Years,Hispanic,0
0,0,4,1,45 - 54 Years,White,0
0,1,4,4,55 - 64 Years,White,0
1,0,4,1,65+ Years,Hispanic,1
0,0,4,1,45 - 54 Years,Black,0
1,1,5,4,35 - 44 Years,White,1
0,0,2,2,45 - 54 Years,White,0
0,0,4,1,45 - 54 Years,White,0
1,0,5,4,55 - 64 Years,White,0
0,0,3,4,45 - 54 Years,Black,0
0,1,5,2,65+ Years,White,0
1,1,5,4,55 - 64 Years,White,1
0,0,2,1,55 - 64 Years,White,0
0,0,1,1,65+ Years,Hispanic,0
0,0,4,1,18 - 34 Years,White,0
0,0,3,4,65+ Years,White,0
0,0,3,2,45 - 54 Years,White,1
0,0,4,1,45 - 54 Years,White,0
0,0,3,4,65+ Years,White,0
0,0,5,2,45 - 54 Years,White,1
1,0,4,2,35 - 44 Years,Other or Multiple,1
1,0,5,5,35 - 44 Years,Other or Multiple,1
0,0,2,2,65+ Years,White,0
0,0,5,2,65+ Years,White,1
0,0,5,2,18 - 34 Years,White,0
1,0,5,5,18 - 34 Years,Hispanic,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,2,65+ Years,White,0
0,1,4,2,18 - 34 Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,0,2,2,35 - 44 Years,White,0
0,0,4,4,45 - 54 Years,White,0
1,0,5,2,18 - 34 Years,White,0
1,0,5,2,45 - 54 Years,White,1
0,0,5,4,55 - 64 Years,White,1
1,1,5,4,65+ Years,White,1
0,0,2,1,55 - 64 Years,White,0
1,0,4,4,55 - 64 Years,White,1
1,0,4,5,45 - 54 Years,White,1
0,0,4,4,45 - 54 Years,White,0
0,0,3,3,65+ Years,White,0
1,0,4,2,45 - 54 Years,White,1
0,0,4,4,55 - 64 Years,White,0
0,0,5,5,65+ Years,White,0
1,1,5,2,55 - 64 Years,White,0
0,0,5,1,65+ Years,Black,0
1,0,4,2,35 - 44 Years,Hispanic,0
0,0,4,1,65+ Years,White,0
0,0,2,2,65+ Years,White,0
1,0,5,4,55 - 64 Years,White,0
1,0,4,1,18 - 34 Years,White,0
1,0,5,5,18 - 34 Years,White,1
1,0,5,1,65+ Years,White,1
0,0,2,1,55 - 64 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,2,18 - 34 Years,Other or Multiple,0
0,0,1,2,45 - 54 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,4,2,65+ Years,White,0
1,1,5,4,18 - 34 Years,White,1
0,0,3,4,55 - 64 Years,White,0
0,1,3,3,65+ Years,White,0
0,0,2,1,65+ Years,White,0
0,0,5,2,65+ Years,Black,1
0,0,5,1,18 - 34 Years,White,0
1,0,4,5,35 - 44 Years,White,1
0,0,5,4,18 - 34 Years,White,1
1,1,5,5,45 - 54 Years,White,1
0,0,2,4,55 - 64 Years,White,0
1,0,5,5,55 - 64 Years,White,1
0,0,4,2,55 - 64 Years,White,0
0,1,4,4,55 - 64 Years,White,1
0,0,5,1,55 - 64 Years,White,0
0,0,3,1,65+ Years,Black,0
0,0,5,4,45 - 54 Years,White,1
0,1,5,2,18 - 34 Years,White,0
0,0,3,2,35 - 44 Years,White,0
0,0,3,2,45 - 54 Years,White,0
1,0,3,1,65+ Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,0,4,1,55 - 64 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,4,4,45 - 54 Years,White,0
1,0,5,2,18 - 34 Years,White,0
0,1,3,1,65+ Years,White,0
0,0,1,1,45 - 54 Years,White,0
1,0,4,2,35 - 44 Years,White,0
1,0,5,2,65+ Years,White,0
0,0,2,1,45 - 54 Years,White,0
0,0,5,4,45 - 54 Years,White,1
0,0,4,2,55 - 64 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,5,5,45 - 54 Years,White,0
1,0,4,1,18 - 34 Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,3,2,55 - 64 Years,White,0
1,0,5,2,55 - 64 Years,White,1
0,0,5,5,45 - 54 Years,White,0
0,0,4,2,45 - 54 Years,White,0
1,0,4,1,35 - 44 Years,Black,0
1,0,5,5,55 - 64 Years,White,1
0,0,3,1,65+ Years,White,0
0,1,3,2,45 - 54 Years,White,0
0,0,5,2,18 - 34 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,1,4,5,35 - 44 Years,White,1
0,0,2,1,35 - 44 Years,White,1
0,0,4,2,65+ Years,White,0
0,0,3,1,55 - 64 Years,White,0
0,0,1,2,45 - 54 Years,White,0
0,0,5,1,65+ Years,Black,0
0,0,4,2,45 - 54 Years,White,0
0,0,3,2,45 - 54 Years,White,0
1,1,4,2,45 - 54 Years,White,1
0,0,1,1,45 - 54 Years,White,0
0,0,4,2,45 - 54 Years,White,0
1,1,4,1,55 - 64 Years,Other or Multiple,0
0,0,2,1,65+ Years,White,0
0,0,3,5,55 - 64 Years,White,0
0,0,3,2,45 - 54 Years,White,0
0,0,3,4,65+ Years,White,0
0,0,3,3,55 - 64 Years,White,0
1,0,5,4,65+ Years,White,0
1,0,5,2,35 - 44 Years,White,0
1,0,3,1,45 - 54 Years,White,0
0,0,2,4,18 - 34 Years,Hispanic,0
0,0,2,1,45 - 54 Years,White,0
0,0,5,5,18 - 34 Years,Hispanic,1
1,0,4,4,18 - 34 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,5,4,65+ Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,0,2,1,65+ Years,White,0
0,0,2,1,55 - 64 Years,White,0
0,0,5,1,65+ Years,White,0
0,0,4,2,45 - 54 Years,Hispanic,0
0,0,4,4,45 - 54 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,5,2,55 - 64 Years,White,0
0,0,3,2,55 - 64 Years,White,0
1,0,3,5,55 - 64 Years,Black,0
0,0,5,2,55 - 64 Years,White,0
0,0,4,4,45 - 54 Years,White,0
1,0,4,1,45 - 54 Years,White,0
0,0,5,2,45 - 54 Years,Other or Multiple,0
0,0,4,3,65+ Years,Black,0
0,0,5,2,35 - 44 Years,White,0
0,0,4,1,55 - 64 Years,White,0
0,0,3,2,18 - 34 Years,Other or Multiple,0
0,0,4,2,65+ Years,White,0
0,0,2,1,35 - 44 Years,White,0
0,0,1,1,45 - 54 Years,White,0
0,0,5,2,55 - 64 Years,White,0
1,0,3,5,55 - 64 Years,Black,0
0,0,3,3,45 - 54 Years,White,0
0,0,5,4,55 - 64 Years,White,0
1,0,5,4,55 - 64 Years,White,0
1,0,5,2,35 - 44 Years,White,1
0,1,4,1,65+ Years,White,0
0,0,5,4,18 - 34 Years,Black,0
0,0,4,2,35 - 44 Years,White,0
1,0,3,3,65+ Years,White,0
1,0,5,4,18 - 34 Years,Other or Multiple,1
1,0,5,4,55 - 64 Years,White,1
0,0,4,5,45 - 54 Years,Black,0
1,1,4,5,45 - 54 Years,White,1
0,0,4,2,35 - 44 Years,White,0
0,0,4,1,45 - 54 Years,Other or Multiple,0
0,0,4,4,45 - 54 Years,White,1
0,0,3,2,35 - 44 Years,White,0
0,0,4,4,35 - 44 Years,White,0
0,0,5,1,65+ Years,Other or Multiple,0
0,0,4,2,35 - 44 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,3,1,45 - 54 Years,White,0
1,0,3,2,65+ Years,White,1
0,1,4,2,18 - 34 Years,White,0
0,0,4,2,18 - 34 Years,White,1
1,0,4,4,45 - 54 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,2,2,65+ Years,White,0
0,0,4,2,18 - 34 Years,White,1
0,0,4,2,55 - 64 Years,White,1
0,0,5,5,45 - 54 Years,Black,0
0,0,5,2,18 - 34 Years,Other or Multiple,0
0,0,3,1,55 - 64 Years,White,0
0,0,2,2,65+ Years,White,0
0,0,4,4,55 - 64 Years,Other or Multiple,0
1,0,5,4,45 - 54 Years,White,1
0,0,3,2,45 - 54 Years,Other or Multiple,0
0,0,1,1,18 - 34 Years,White,0
0,0,5,4,55 - 64 Years,White,0
0,0,5,2,45 - 54 Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,5,1,18 - 34 Years,Black,1
0,0,5,2,55 - 64 Years,White,0
0,0,5,2,55 - 64 Years,White,0
0,0,4,4,65+ Years,White,0
0,0,3,1,45 - 54 Years,White,0
0,0,3,1,55 - 64 Years,White,0
0,0,1,1,45 - 54 Years,Other or Multiple,0
0,0,4,1,18 - 34 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,3,3,55 - 64 Years,White,0
1,0,4,1,65+ Years,White,1
0,0,4,4,45 - 54 Years,Other or Multiple,0
1,1,4,4,45 - 54 Years,White,0
0,0,4,4,35 - 44 Years,Black,0
0,0,2,1,55 - 64 Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,0,3,2,65+ Years,Hispanic,0
0,0,3,1,55 - 64 Years,White,0
0,0,5,2,45 - 54 Years,White,0
1,0,5,2,55 - 64 Years,White,1
0,0,4,1,65+ Years,White,0
0,0,4,4,65+ Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,5,5,45 - 54 Years,White,1
0,0,4,1,65+ Years,White,0
0,0,2,2,18 - 34 Years,Black,0
0,0,4,2,65+ Years,White,0
0,0,3,2,35 - 44 Years,White,0
0,0,5,1,45 - 54 Years,White,0
0,0,5,1,65+ Years,White,0
1,0,5,2,45 - 54 Years,Black,1
0,0,5,2,35 - 44 Years,White,0
0,0,2,1,65+ Years,White,0
0,0,5,2,55 - 64 Years,White,1
0,0,3,1,55 - 64 Years,White,0
1,0,3,3,55 - 64 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,3,1,55 - 64 Years,Black,0
0,0,4,2,55 - 64 Years,White,0
0,0,3,2,45 - 54 Years,White,0
0,0,5,4,18 - 34 Years,White,1
0,0,5,1,45 - 54 Years,White,0
0,0,5,4,35 - 44 Years,White,0
0,0,3,1,18 - 34 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,0,5,1,65+ Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,5,4,55 - 64 Years,White,1
0,1,1,1,45 - 54 Years,White,0
1,0,5,4,45 - 54 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,3,1,18 - 34 Years,Hispanic,0
0,0,4,2,55 - 64 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,3,1,65+ Years,White,0
0,0,3,2,35 - 44 Years,White,0
0,0,5,1,65+ Years,White,0
1,0,5,4,35 - 44 Years,White,0
0,0,3,2,55 - 64 Years,White,0
0,1,5,4,35 - 44 Years,White,0
1,0,4,4,45 - 54 Years,White,1
1,0,3,5,65+ Years,White,0
0,0,1,2,35 - 44 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,2,45 - 54 Years,Black,0
0,0,3,3,45 - 54 Years,Other or Multiple,0
0,1,4,2,18 - 34 Years,White,0
1,0,5,4,35 - 44 Years,White,1
0,0,3,3,65+ Years,White,0
0,0,4,2,65+ Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,4,1,55 - 64 Years,White,0
0,0,4,4,65+ Years,White,0
0,0,3,2,65+ Years,White,0
1,0,3,2,55 - 64 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,3,2,45 - 54 Years,White,0
0,1,1,1,45 - 54 Years,Black,0
0,1,3,2,65+ Years,White,0
0,0,4,2,35 - 44 Years,White,0
1,1,5,4,55 - 64 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,3,3,55 - 64 Years,White,0
0,0,5,1,65+ Years,White,0
0,0,4,4,65+ Years,White,0
1,0,3,4,45 - 54 Years,White,1
0,0,4,2,45 - 54 Years,White,1
0,0,4,4,45 - 54 Years,White,1
0,0,4,1,35 - 44 Years,White,0
0,0,4,1,45 - 54 Years,Black,0
1,0,4,1,18 - 34 Years,Other or Multiple,0
0,0,3,1,65+ Years,White,0
0,0,3,5,55 - 64 Years,White,0
1,0,5,5,65+ Years,White,1
0,0,5,1,65+ Years,White,0
0,1,4,1,45 - 54 Years,Black,0
0,1,5,1,35 - 44 Years,Hispanic,1
0,0,5,1,18 - 34 Years,White,0
0,0,4,1,65+ Years,White,0
0,0,3,1,65+ Years,White,0
0,1,4,5,18 - 34 Years,White,1
0,0,3,1,65+ Years,White,0
0,0,1,1,55 - 64 Years,White,0
1,0,4,4,65+ Years,White,1
0,0,4,1,65+ Years,Black,0
0,0,4,1,35 - 44 Years,White,0
0,0,3,1,65+ Years,White,0
0,0,3,1,55 - 64 Years,White,0
0,0,3,2,35 - 44 Years,White,0
0,0,3,1,45 - 54 Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,1,5,4,18 - 34 Years,White,1
0,0,4,1,35 - 44 Years,Black,0
0,0,5,1,45 - 54 Years,Black,0
0,0,3,2,45 - 54 Years,White,0
0,0,3,2,65+ Years,White,0
1,1,5,4,55 - 64 Years,White,1
0,0,5,1,45 - 54 Years,White,0
0,0,4,1,18 - 34 Years,White,0
1,0,5,4,18 - 34 Years,White,0
0,0,3,1,65+ Years,White,0
0,0,5,2,35 - 44 Years,White,1
1,0,4,1,65+ Years,White,0
0,0,3,5,65+ Years,Hispanic,0
1,0,4,4,65+ Years,White,1
0,0,4,1,35 - 44 Years,White,0
0,0,3,2,18 - 34 Years,White,0
0,0,3,4,18 - 34 Years,Hispanic,0
0,0,3,1,55 - 64 Years,White,0
1,0,4,4,35 - 44 Years,White,1
1,0,2,5,18 - 34 Years,White,0
0,0,4,2,18 - 34 Years,White,0
1,1,4,3,45 - 54 Years,White,1
1,1,4,1,45 - 54 Years,White,0
0,0,5,2,55 - 64 Years,White,1
0,0,4,2,35 - 44 Years,White,0
1,0,5,2,18 - 34 Years,White,0
1,0,4,2,55 - 64 Years,White,1
0,0,4,4,55 - 64 Years,White,0
0,0,2,1,45 - 54 Years,Other or Multiple,0
0,0,4,2,18 - 34 Years,Other or Multiple,0
0,0,4,5,55 - 64 Years,White,0
0,0,3,3,45 - 54 Years,White,0
0,0,5,2,55 - 64 Years,White,0
0,1,3,1,45 - 54 Years,Hispanic,0
0,0,4,1,65+ Years,White,0
0,0,3,4,65+ Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,4,4,35 - 44 Years,White,0
0,0,3,1,65+ Years,White,0
1,0,5,5,55 - 64 Years,Other or Multiple,1
0,0,2,1,65+ Years,White,0
0,0,5,4,45 - 54 Years,White,0
0,0,1,1,65+ Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,2,4,18 - 34 Years,Hispanic,0
0,0,4,2,45 - 54 Years,White,0
0,0,5,2,18 - 34 Years,White,1
0,0,3,3,65+ Years,White,0
1,1,4,5,55 - 64 Years,White,1
1,0,5,5,18 - 34 Years,Hispanic,1
0,0,4,1,45 - 54 Years,White,0
0,0,1,2,45 - 54 Years,White,0
0,0,5,4,18 - 34 Years,Other or Multiple,1
0,0,2,1,18 - 34 Years,Other or Multiple,0
0,0,4,2,55 - 64 Years,White,0
1,1,5,2,18 - 34 Years,White,1
1,0,4,1,35 - 44 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,0,3,3,55 - 64 Years,Black,0
0,0,4,4,18 - 34 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,1,2,1,65+ Years,White,0
0,0,4,4,45 - 54 Years,Hispanic,0
0,0,3,1,65+ Years,White,0
0,0,3,1,65+ Years,White,0
0,1,4,1,45 - 54 Years,White,0
0,0,4,2,18 - 34 Years,Black,0
0,0,4,1,45 - 54 Years,White,0
0,0,4,4,55 - 64 Years,White,0
0,0,4,4,35 - 44 Years,White,1
0,0,5,5,55 - 64 Years,White,0
0,0,4,2,35 - 44 Years,White,1
0,0,5,2,45 - 54 Years,White,0
0,0,3,3,65+ Years,White,0
0,0,2,1,18 - 34 Years,White,0
0,1,4,2,18 - 34 Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,1,5,5,55 - 64 Years,Black,1
0,0,5,2,18 - 34 Years,Black,0
0,0,5,1,35 - 44 Years,Hispanic,0
0,0,4,1,65+ Years,White,0
0,1,5,2,55 - 64 Years,Other or Multiple,1
0,0,4,2,65+ Years,White,0
0,1,4,4,65+ Years,White,0
1,0,4,2,18 - 34 Years,Hispanic,1
1,0,4,2,65+ Years,White,0
1,0,5,5,18 - 34 Years,Hispanic,0
0,0,4,1,18 - 34 Years,White,0
0,0,4,1,55 - 64 Years,White,0
1,1,5,2,65+ Years,White,1
0,0,4,2,18 - 34 Years,White,0
0,0,3,3,65+ Years,White,0
0,0,3,1,65+ Years,White,0
0,0,3,2,65+ Years,White,0
1,0,5,2,18 - 34 Years,White,1
0,0,4,1,55 - 64 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,4,55 - 64 Years,White,0
0,0,5,4,55 - 64 Years,White,0
0,0,4,1,55 - 64 Years,White,0
0,0,3,1,65+ Years,White,0
0,0,4,1,35 - 44 Years,White,0
1,0,5,4,65+ Years,White,1
0,1,4,1,65+ Years,White,0
0,0,4,1,35 - 44 Years,Hispanic,0
0,0,3,2,45 - 54 Years,White,0
1,0,4,4,45 - 54 Years,White,0
0,0,4,1,65+ Years,White,1
1,0,3,1,65+ Years,White,1
0,0,4,1,35 - 44 Years,White,0
0,1,4,5,55 - 64 Years,White,1
0,0,4,4,45 - 54 Years,Hispanic,0
0,0,2,1,55 - 64 Years,White,0
1,0,5,5,45 - 54 Years,White,1
0,0,4,1,18 - 34 Years,Black,0
0,0,4,5,35 - 44 Years,White,0
0,0,5,1,18 - 34 Years,White,1
0,0,3,2,45 - 54 Years,White,1
0,0,4,2,18 - 34 Years,White,0
0,1,4,4,35 - 44 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,3,4,45 - 54 Years,White,0
0,0,3,2,45 - 54 Years,White,0
0,0,4,4,65+ Years,White,0
0,0,3,3,55 - 64 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,1,1,1,45 - 54 Years,Other or Multiple,0
0,0,4,2,45 - 54 Years,White,0
0,0,4,1,45 - 54 Years,Black,0
1,1,4,2,55 - 64 Years,Black,0
0,0,4,2,45 - 54 Years,White,0
0,0,5,1,55 - 64 Years,White,0
0,0,3,5,18 - 34 Years,Hispanic,0
0,0,2,2,55 - 64 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,4,2,35 - 44 Years,White,0
1,0,4,1,65+ Years,Black,1
1,0,5,2,55 - 64 Years,White,0
1,0,4,2,55 - 64 Years,White,1
0,0,4,2,18 - 34 Years,White,0
0,0,5,4,18 - 34 Years,Other or Multiple,0
0,0,4,1,65+ Years,White,0
0,0,1,2,35 - 44 Years,White,0
0,1,4,2,35 - 44 Years,Black,0
0,1,5,4,45 - 54 Years,Black,1
0,0,4,2,65+ Years,White,0
0,0,1,1,55 - 64 Years,Other or Multiple,0
0,0,4,2,65+ Years,White,0
0,0,5,2,18 - 34 Years,White,0
0,1,5,4,55 - 64 Years,White,1
1,0,4,2,45 - 54 Years,White,1
1,0,5,4,65+ Years,White,0
0,0,4,4,65+ Years,White,0
0,1,5,4,45 - 54 Years,White,0
0,0,2,2,65+ Years,White,0
0,0,3,2,55 - 64 Years,White,0
0,0,5,1,45 - 54 Years,White,0
0,1,4,2,55 - 64 Years,White,0
0,0,3,3,65+ Years,White,0
1,0,5,4,65+ Years,White,1
0,1,4,2,65+ Years,White,0
0,0,4,1,18 - 34 Years,White,1
1,0,5,1,65+ Years,White,1
1,1,4,2,18 - 34 Years,White,0
1,0,4,4,65+ Years,Other or Multiple,1
1,1,4,2,18 - 34 Years,White,1
0,0,3,2,55 - 64 Years,White,0
0,0,2,2,45 - 54 Years,White,0
0,0,5,5,65+ Years,White,1
0,0,4,2,18 - 34 Years,Hispanic,1
0,0,1,4,18 - 34 Years,White,0
0,0,3,1,65+ Years,White,0
0,0,5,2,65+ Years,White,1
1,0,4,4,35 - 44 Years,Black,1
0,0,5,4,45 - 54 Years,White,1
0,0,5,2,65+ Years,White,0
0,1,4,2,18 - 34 Years,White,0
0,1,5,5,35 - 44 Years,Black,0
1,1,4,4,18 - 34 Years,White,1
0,0,4,5,35 - 44 Years,White,0
0,0,4,4,65+ Years,White,0
0,0,5,2,45 - 54 Years,White,0
0,0,3,3,45 - 54 Years,White,0
0,0,5,2,65+ Years,White,0
0,0,4,2,35 - 44 Years,Black,0
0,1,3,1,45 - 54 Years,Other or Multiple,0
0,0,4,2,18 - 34 Years,White,0
1,0,5,2,55 - 64 Years,White,1
0,0,4,2,45 - 54 Years,White,0
0,0,4,4,55 - 64 Years,White,0
1,1,5,5,45 - 54 Years,White,1
0,0,5,4,55 - 64 Years,White,1
0,0,4,2,55 - 64 Years,White,0
1,0,5,2,65+ Years,White,1
0,0,3,1,55 - 64 Years,Other or Multiple,0
0,0,4,2,35 - 44 Years,White,0
0,0,4,4,55 - 64 Years,White,1
0,0,4,2,65+ Years,White,0
0,0,5,4,35 - 44 Years,White,0
0,0,3,4,65+ Years,White,0
0,0,3,3,55 - 64 Years,White,0
0,1,5,4,18 - 34 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,4,1,65+ Years,White,0
1,0,4,4,45 - 54 Years,White,0
1,0,2,1,55 - 64 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,4,1,65+ Years,White,0
0,0,3,1,55 - 64 Years,White,0
1,0,4,1,65+ Years,White,0
1,1,3,1,45 - 54 Years,White,0
0,0,4,1,65+ Years,White,0
0,1,3,1,45 - 54 Years,White,0
1,0,4,1,65+ Years,White,1
0,0,4,1,35 - 44 Years,White,0
1,0,4,4,65+ Years,White,1
0,1,5,3,55 - 64 Years,White,0
0,0,5,4,65+ Years,White,1
0,0,5,2,65+ Years,White,1
0,0,3,4,65+ Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,2,1,18 - 34 Years,Hispanic,0
1,0,4,4,55 - 64 Years,Other or Multiple,0
0,0,3,2,55 - 64 Years,White,0
0,0,2,2,55 - 64 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,3,1,65+ Years,White,0
0,0,5,2,65+ Years,White,0
0,0,4,2,45 - 54 Years,White,0
1,0,5,5,18 - 34 Years,White,0
0,0,5,2,18 - 34 Years,Hispanic,0
0,0,4,2,65+ Years,White,0
0,0,2,2,18 - 34 Years,Other or Multiple,0
0,0,4,2,45 - 54 Years,White,0
0,1,4,2,18 - 34 Years,White,1
0,0,4,4,35 - 44 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,1,1,45 - 54 Years,White,0
0,0,3,2,65+ Years,Hispanic,0
0,0,3,2,45 - 54 Years,Black,0
1,0,4,3,65+ Years,Other or Multiple,0
0,0,4,1,65+ Years,White,0
0,0,3,2,65+ Years,Other or Multiple,0
0,0,5,1,65+ Years,White,0
0,0,4,4,65+ Years,White,0
0,1,4,1,45 - 54 Years,White,0
0,1,4,1,55 - 64 Years,White,0
0,0,4,5,35 - 44 Years,White,1
0,0,4,2,55 - 64 Years,White,0
0,0,4,4,55 - 64 Years,White,0
0,0,5,1,45 - 54 Years,Black,0
0,0,4,4,35 - 44 Years,White,0
0,0,4,1,18 - 34 Years,White,0
0,1,4,2,18 - 34 Years,White,1
0,0,4,1,18 - 34 Years,White,0
0,0,1,1,55 - 64 Years,Black,0
0,0,4,4,45 - 54 Years,White,0
0,0,1,4,45 - 54 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,1,5,5,18 - 34 Years,White,1
0,0,4,2,35 - 44 Years,White,0
1,0,3,4,65+ Years,White,1
0,0,5,2,45 - 54 Years,White,1
1,0,4,4,55 - 64 Years,Hispanic,1
0,0,5,2,55 - 64 Years,Black,0
1,0,5,4,18 - 34 Years,White,0
0,0,3,1,55 - 64 Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,0,4,1,55 - 64 Years,Hispanic,0
0,0,4,2,45 - 54 Years,Black,0
0,1,4,1,35 - 44 Years,White,0
0,0,5,2,45 - 54 Years,Other or Multiple,1
0,0,5,2,55 - 64 Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,2,65+ Years,White,0
0,0,3,1,55 - 64 Years,White,0
0,0,3,1,55 - 64 Years,White,0
0,0,5,2,35 - 44 Years,Black,1
0,0,4,1,65+ Years,Other or Multiple,1
0,0,3,3,35 - 44 Years,White,0
0,0,4,2,18 - 34 Years,White,1
0,0,1,1,65+ Years,White,0
0,0,2,2,45 - 54 Years,White,0
1,0,4,5,55 - 64 Years,Hispanic,1
0,0,5,1,65+ Years,White,0
1,0,5,2,55 - 64 Years,White,1
0,0,3,3,45 - 54 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,4,4,45 - 54 Years,Black,0
1,1,5,2,35 - 44 Years,White,1
0,0,5,4,55 - 64 Years,White,0
0,0,2,2,65+ Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,5,4,65+ Years,White,0
0,0,4,4,55 - 64 Years,White,1
0,0,5,1,55 - 64 Years,White,0
0,0,4,2,45 - 54 Years,White,0
0,0,3,2,35 - 44 Years,White,0
1,0,4,1,65+ Years,White,1
0,0,3,1,55 - 64 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,4,1,45 - 54 Years,White,0
0,0,3,4,65+ Years,White,0
1,0,4,5,18 - 34 Years,Hispanic,0
0,0,2,2,65+ Years,Other or Multiple,0
0,0,3,1,18 - 34 Years,Black,0
0,0,1,1,45 - 54 Years,White,0
0,0,2,2,45 - 54 Years,White,0
1,0,5,4,35 - 44 Years,Hispanic,1
0,0,1,1,65+ Years,White,0
0,0,5,1,65+ Years,White,0
1,0,4,1,18 - 34 Years,White,1
0,0,2,2,45 - 54 Years,White,0
1,1,4,4,55 - 64 Years,White,1
0,0,2,2,35 - 44 Years,White,0
0,0,4,2,55 - 64 Years,White,0
0,0,5,2,45 - 54 Years,White,1
0,1,3,1,65+ Years,White,0
0,0,4,2,18 - 34 Years,White,0
0,0,4,2,35 - 44 Years,White,0
0,0,2,4,65+ Years,White,0
1,0,5,5,35 - 44 Years,Other or Multiple,1
0,0,4,1,45 - 54 Years,White,0
0,1,4,2,55 - 64 Years,Black,0
1,0,5,1,55 - 64 Years,White,1
0,0,1,2,18 - 34 Years,White,0
0,0,3,4,55 - 64 Years,Other or Multiple,0
1,0,5,4,35 - 44 Years,White,1
0,0,3,1,65+ Years,White,0
1,0,3,3,65+ Years,White,0
0,0,5,4,35 - 44 Years,White,0
0,0,5,1,18 - 34 Years,White,0
0,0,3,2,65+ Years,White,1
1,0,4,2,55 - 64 Years,White,1
0,0,4,2,18 - 34 Years,White,0
